IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
048371,Springfield Local,Mahoning," $10,003,826 "," $1,834,097 ",18.33%," $10,270,629 "," $1,737,813 ",16.92%," $10,242,202 "," $1,757,437 ",17.16%,"$9,907,517","$2,460,115",24.8%,"$10,722,856","$2,776,499",25.9%,20.6%,3
048389,West Branch Local,Mahoning," $20,066,601 "," $3,752,628 ",18.70%," $19,179,303 "," $3,043,340 ",15.87%," $18,106,743 "," $4,021,480 ",22.21%,"$18,722,104","$4,903,397",26.2%,"$20,117,403","$4,164,910",20.7%,20.7%,1
048397,Western Reserve Local,Mahoning," $6,881,743 "," $1,650,555 ",23.98%," $6,444,500 "," $1,484,387 ",23.03%," $6,856,017 "," $1,155,959 ",16.86%,"$6,480,204","$1,711,973",26.4%,"$6,434,496","$2,170,740",33.7%,24.8%,2
048413,Elgin Local,Marion," $11,298,024 "," $4,290,612 ",37.98%," $11,880,571 "," $5,054,779 ",42.55%," $11,905,969 "," $6,673,962 ",56.06%,"$12,225,919","$8,312,933",68.0%,"$12,444,402","$9,840,187",79.1%,56.7%,1
048421,Pleasant Local,Marion," $11,315,971 "," $2,215,337 ",19.58%," $11,084,041 "," $1,789,687 ",16.15%," $10,678,680 "," $2,087,150 ",19.55%,"$10,872,920","$2,417,801",22.2%,"$10,920,783","$2,879,240",26.4%,20.8%,3
048439,Ridgedale Local,Marion," $7,751,780 "," $2,964,845 ",38.25%," $7,831,260 "," $2,853,563 ",36.44%," $7,898,421 "," $3,029,913 ",38.36%,"$7,913,852","$3,436,897",43.4%,"$8,598,033","$3,256,575",37.9%,38.9%,1
048447,River Valley Local,Marion," $15,153,952 "," $2,382,599 ",15.72%," $15,188,278 "," $2,356,765 ",15.52%," $16,204,353 "," $2,113,265 ",13.04%,"$16,119,859","$3,155,344",19.6%,"$17,440,794","$3,404,855",19.5%,16.7%,3
048462,Black River Local,Medina," $12,401,872 "," $35,634 ",0.29%," $11,449,405 "," $300,627 ",2.63%," $12,070,643 "," $1,212,799 ",10.05%,"$13,091,850","$2,783,639",21.3%,"$14,117,216","$2,800,977",19.8%,10.8%,2
048470,Buckeye Local,Medina," $18,032,089 "," $574,800 ",3.19%," $17,484,480 "," $1,812,579 ",10.37%," $18,344,317 "," $4,363,145 ",23.78%,"$18,959,736","$7,424,870",39.2%,"$19,577,291","$10,400,595",53.1%,25.9%,3
048488,Cloverleaf Local,Medina," $27,037,514 "," $953,534 ",3.53%," $24,647,355 "," $2,218,847 ",9.00%," $24,436,684 "," $3,654,035 ",14.95%,"$24,640,924","$6,775,308",27.5%,"$25,750,557","$11,519,413",44.7%,19.9%,3
048496,Highland Local,Medina," $25,364,630 "," $6,785,662 ",26.75%," $25,513,650 "," $9,855,201 ",38.63%," $26,586,344 "," $12,754,469 ",47.97%,"$28,901,813","$15,089,407",52.2%,"$28,812,898","$17,681,150",61.4%,45.4%,6
048512,Eastern Local,Meigs," $7,328,446 "," $1,135,320 ",15.49%," $7,689,178 "," $987,978 ",12.85%," $7,505,526 "," $1,176,220 ",15.67%,"$7,786,903","$1,165,161",15.0%,"$8,561,318","$1,531,977",17.9%,15.4%,2
048520,Meigs Local,Meigs," $18,375,362 "," $916,717 ",4.99%," $18,276,182 "," $515,553 ",2.82%," $17,744,859 "," $1,870,034 ",10.54%,"$19,295,958","$2,730,672",14.2%,"$20,271,957","$3,580,639",17.7%,10.0%,1
048538,Southern Local,Meigs," $7,339,444 "," $1,542,672 ",21.02%," $7,111,790 "," $1,396,958 ",19.64%," $7,163,015 "," $1,072,111 ",14.97%,"$6,959,075","$1,402,065",20.1%,"$7,695,662","$1,530,290",19.9%,19.1%,1
048553,Marion Local,Mercer," $7,261,546 "," $1,341,249 ",18.47%," $7,301,126 "," $1,254,364 ",17.18%," $7,622,365 "," $1,424,565 ",18.69%,"$7,243,287","$2,600,075",35.9%,"$8,181,075","$3,428,724",41.9%,26.4%,2
048579,Parkway Local,Mercer," $10,006,974 "," $3,338,072 ",33.36%," $10,138,642 "," $3,333,457 ",32.88%," $10,369,536 "," $3,491,891 ",33.67%,"$10,591,651","$4,169,841",39.4%,"$11,018,025","$4,965,302",45.1%,36.9%,2
048587,St Henry Consolidated Local,Mercer," $8,355,357 "," $3,411,586 ",40.83%," $8,498,633 "," $3,528,488 ",41.52%," $8,520,382 "," $3,817,811 ",44.81%,"$8,736,108","$4,328,398",49.5%,"$8,917,991","$5,111,368",57.3%,46.8%,2
048595,Fort Recovery Local,Mercer," $8,709,049 "," $3,011,825 ",34.58%," $8,700,095 "," $2,707,647 ",31.12%," $9,117,282 "," $3,148,946 ",34.54%,"$9,410,346","$3,758,795",39.9%,"$9,378,060","$4,811,078",51.3%,38.3%,2
048611,Bethel Local,Miami," $7,891,902 "," $583,257 ",7.39%," $7,755,395 "," $1,277,899 ",16.48%," $7,800,716 "," $2,631,342 ",33.73%,"$8,548,838","$3,246,937",38.0%,"$9,935,624","$3,333,964",33.6%,25.8%,3
048629,Miami East Local,Miami," $11,286,033 "," $391,291 ",3.47%," $11,026,387 "," $1,561,620 ",14.16%," $11,852,737 "," $2,244,320 ",18.94%,"$11,581,495","$3,615,807",31.2%,"$12,010,270","$5,102,935",42.5%,22.1%,2
048637,Newton Local,Miami," $5,126,423 "," $1,846,539 ",36.02%," $5,373,087 "," $1,717,409 ",31.96%," $5,374,162 "," $1,888,226 ",35.14%,"$5,616,813","$2,030,690",36.2%,"$6,464,374","$2,251,175",34.8%,34.8%,2
048652,Switzerland of Ohio Local,Monroe," $24,820,160 "," $342,442 ",1.38%," $25,143,693 "," $598,495 ",2.38%," $27,858,156 "," $3,893,699 ",13.98%,"$25,275,147","$5,957,347",23.6%,"$26,730,127","$8,626,265",32.3%,14.7%,1
048678,Brookville Local,Montgomery," $12,369,546 "," $4,549,274 ",36.78%," $12,354,218 "," $3,563,208 ",28.84%," $13,811,125 "," $3,694,966 ",26.75%,"$12,415,975","$4,611,710",37.1%,"$12,692,299","$5,856,666",46.1%,35.1%,3
048686,Jefferson Township Local,Montgomery," $7,213,331 "," $2,716,159 ",37.65%," $6,718,015 "," $3,750,643 ",55.83%," $6,719,786 "," $4,434,244 ",65.99%,"$6,672,871","$5,118,443",76.7%,"$7,147,046","$5,303,578",74.2%,62.1%,4
048694,Trotwood-Madison City,Montgomery," $31,739,485 "," $15,908,821 ",50.12%," $27,386,275 "," $19,487,362 ",71.16%," $32,153,083 "," $23,935,756 ",74.44%,"$31,975,902","$27,798,086",86.9%,"$34,673,054","$28,679,690",82.7%,73.1%,7
048702,Mad River Local,Montgomery," $36,397,254 "," $9,571,329 ",26.30%," $34,082,221 "," $11,033,144 ",32.37%," $34,783,074 "," $14,647,558 ",42.11%,"$38,584,688","$16,977,367",44.0%,"$40,966,126","$18,856,898",46.0%,38.2%,7
048710,New Lebanon Local,Montgomery," $10,246,701 "," $5,439,306 ",53.08%," $10,270,120 "," $6,003,432 ",58.46%," $10,556,289 "," $6,955,989 ",65.89%,"$10,544,878","$7,969,246",75.6%,"$10,521,977","$10,220,160",97.1%,70.0%,1
048728,Northmont City,Montgomery," $48,133,749 "," $10,857,459 ",22.56%," $48,133,749 "," $10,857,459 ",22.56%," $49,906,367 "," $9,263,188 ",18.56%,"$48,218,437","$10,251,675",21.3%,"$52,067,422","$13,673,638",26.3%,22.2%,5
048736,Northridge Local,Montgomery," $19,705,280 "," $6,007,383 ",30.49%," $19,170,284 "," $6,341,139 ",33.08%," $19,735,761 "," $6,822,416 ",34.57%,"$19,818,689","$9,061,570",45.7%,"$19,973,497","$11,328,078",56.7%,40.1%,4
048744,Valley View Local,Montgomery," $19,107,004 "," $2,098,858 ",10.98%," $19,107,004 "," $2,098,858 ",10.98%," $18,131,783 "," $1,206,436 ",6.65%,"$16,930,235","$463,801",2.7%,"$18,291,479","$4,076,068",22.3%,10.7%,3
048751,Huber Heights City,Montgomery," $66,471,561 "," $10,287,291 ",15.48%," $67,722,196 "," $5,841,944 ",8.63%," $56,922,324 "," $11,430,156 ",20.08%,"$55,892,853","$20,099,805",36.0%,"$61,326,871","$28,659,081",46.7%,25.4%,7
048777,Morgan Local,Morgan," $18,650,334 "," $7,959,623 ",42.68%," $19,015,031 "," $8,505,361 ",44.73%," $20,032,284 "," $8,555,107 ",42.71%,"$20,148,292","$8,601,936",42.7%,"$21,068,422","$8,526,025",40.5%,42.7%,1
048793,Cardington-Lincoln Local,Morrow," $10,770,877 "," $339,450 ",3.15%," $11,483,675 "," $40,331 ",0.35%," $10,672,864 "," $81,022 ",0.76%,"$11,485,027","$108,743",0.9%,"$12,242,198","$128,916",1.1%,1.3%,1
048801,Highland Local,Morrow," $14,137,087 "," $3,889,680 ",27.51%," $14,671,487 "," $4,126,112 ",28.12%," $14,907,090 "," $5,273,217 ",35.37%,"$15,607,765","$5,780,983",37.0%,"$15,573,826","$5,960,477",38.3%,33.3%,2
048819,Northmor Local,Morrow," $10,882,511 "," $484,746 ",4.45%," $10,723,607 "," $242,558 ",2.26%," $10,784,503 "," $272,916 ",2.53%,"$11,171,667","$421,089",3.8%,"$10,833,915","$1,566,698",14.5%,5.5%,2
048835,East Muskingum Local,Muskingum," $16,493,372 "," $4,961,805 ",30.08%," $17,007,260 "," $5,142,379 ",30.24%," $17,873,141 "," $4,679,150 ",26.18%,"$17,745,009","$4,713,744",26.6%,"$17,951,385","$4,641,724",25.9%,27.8%,3
048843,Franklin Local,Muskingum," $21,153,432 "," $5,010,333 ",23.69%," $21,571,505 "," $5,211,106 ",24.16%," $21,287,814 "," $5,411,104 ",25.42%,"$21,551,887","$5,611,100",26.0%,"$21,907,570","$5,811,100",26.5%,25.2%,1
048850,Maysville Local,Muskingum," $19,107,855 "," $2,329,754 ",12.19%," $19,376,408 "," $1,440,731 ",7.44%," $19,324,574 "," $1,277,842 ",6.61%,"$19,370,549","$1,727,932",8.9%,"$19,390,751","$2,606,959",13.4%,9.7%,4
048876,Tri-Valley Local,Muskingum," $23,746,682 "," $3,232,579 ",13.61%," $24,246,938 "," $2,945,215 ",12.15%," $25,852,823 "," $3,025,345 ",11.70%,"$27,763,401","$4,463,005",16.1%,"$26,825,252","$6,711,822",25.0%,15.7%,1
048884,West Muskingum Local,Muskingum," $13,586,838 "," $1,392,187 ",10.25%," $13,812,878 "," $1,501,473 ",10.87%," $15,128,884 "," $1,688,539 ",11.16%,"$15,680,792","$2,084,937",13.3%,"$16,461,772","$1,911,986",11.6%,11.4%,3
048900,Noble Local,Noble," $9,983,457 "," $2,675,202 ",26.80%," $9,700,806 "," $3,319,407 ",34.22%," $10,247,195 "," $3,445,742 ",33.63%,"$10,675,843","$3,676,780",34.4%,"$10,719,460","$7,545,278",70.4%,39.9%,2
048926,Benton Carroll Salem Local,Ottawa," $19,302,446 "," $1,591,549 ",8.25%," $17,147,286 "," $2,373,121 ",13.84%," $17,143,752 "," $3,463,106 ",20.20%,"$17,044,288","$4,558,946",26.7%,"$19,304,597","$4,716,055",24.4%,18.7%,3
048934,Danbury Local,Ottawa," $9,476,858 "," $3,123,874 ",32.96%," $10,090,994 "," $2,710,834 ",26.86%," $9,698,890 "," $2,966,103 ",30.58%,"$9,837,066","$3,341,232",34.0%,"$9,522,502","$3,887,774",40.8%,33.0%,3
048942,Genoa Area Local,Ottawa," $10,850,433 "," $1,751,581 ",16.14%," $11,151,385 "," $1,739,015 ",15.59%," $10,766,500 "," $1,681,301 ",15.62%,"$11,137,197","$1,823,001",16.4%,"$11,337,741","$2,617,840",23.1%,17.4%,3
048991,Antwerp Local,Paulding," $5,869,072 "," $2,712,523 ",46.22%," $5,945,190 "," $2,889,429 ",48.60%," $6,456,424 "," $3,234,690 ",50.10%,"$6,415,693","$3,683,493",57.4%,"$7,065,870","$4,299,742",60.9%,52.6%,1
049031,Wayne Trace Local,Paulding," $9,072,226 "," $5,580,357 ",61.51%," $9,019,776 "," $5,983,584 ",66.34%," $9,678,443 "," $7,056,048 ",72.90%,"$10,530,121","$7,451,040",70.8%,"$11,054,865","$8,414,726",76.1%,69.5%,1
049056,Northern Local,Perry," $22,515,923 "," $29,767 ",0.13%," $21,859,443 "," $63,949 ",0.29%," $20,269,084 "," $943,430 ",4.65%,"$20,729,721","$1,297,815",6.3%,"$21,521,884","$1,340,463",6.2%,3.5%,2
049064,Southern Local,Perry," $8,362,874 "," $181,562 ",2.17%," $7,601,466 "," $478,102 ",6.29%," $7,579,887 "," $1,117,446 ",14.74%,"$8,000,741","$1,223,685",15.3%,"$8,435,812","$1,854,037",22.0%,12.1%,1
049080,Logan Elm Local,Pickaway," $19,149,818 "," $5,222,799 ",27.27%," $17,689,082 "," $5,781,104 ",32.68%," $17,861,478 "," $7,196,626 ",40.29%,"$19,120,837","$7,869,193",41.2%,"$18,952,089","$9,327,132",49.2%,38.1%,3
049098,Teays Valley Local,Pickaway," $30,193,653 "," $3,310,264 ",10.96%," $29,713,393 "," $3,639,810 ",12.25%," $30,374,634 "," $6,709,213 ",22.09%,"$31,726,326","$10,965,585",34.6%,"$33,355,292","$14,730,819",44.2%,24.8%,3
049106,Westfall Local,Pickaway," $12,513,746 "," $5,199,487 ",41.55%," $12,718,326 "," $7,515,462 ",59.09%," $13,577,834 "," $9,292,697 ",68.44%,"$13,645,078","$11,513,782",84.4%,"$14,083,538","$14,017,153",99.5%,70.6%,2
049122,Eastern Local,Pike," $7,786,895 "," $1,805,584 ",23.19%," $7,845,595 "," $1,820,092 ",23.20%," $8,157,925 "," $2,104,834 ",25.80%,"$8,941,483","$2,481,579",27.8%,"$9,788,666","$4,118,700",42.1%,28.4%,2
049130,Scioto Valley Local,Pike," $14,444,388 "," $6,785,330 ",46.98%," $14,091,678 "," $6,604,495 ",46.87%," $14,264,608 "," $7,463,802 ",52.32%,"$15,561,258","$8,033,796",51.6%,"$15,707,633","$8,100,387",51.6%,49.9%,1
049148,Waverly City,Pike," $15,545,698 "," $2,117,266 ",13.62%," $14,988,361 "," $3,015,327 ",20.12%," $17,662,701 "," $4,475,691 ",25.34%,"$16,345,988","$6,303,451",38.6%,"$18,187,697","$7,593,332",41.7%,27.9%,3
049155,Western Local,Pike," $8,646,711 "," $2,813,935 ",32.54%," $7,956,416 "," $2,254,303 ",28.33%," $8,433,913 "," $1,924,352 ",22.82%,"$8,661,316","$2,062,923",23.8%,"$9,075,551","$3,552,311",39.1%,29.3%,2
049171,Aurora City,Portage," $31,373,681 "," $3,659,726 ",11.66%," $30,152,174 "," $3,764,559 ",12.49%," $30,799,480 "," $5,207,143 ",16.91%,"$39,339,436","$6,899,415",17.5%,"$33,154,633","$7,794,182",23.5%,16.4%,6
049189,Crestwood Local,Portage," $20,971,572 "," $2,531,027 ",12.07%," $19,701,541 "," $2,249,617 ",11.42%," $19,956,890 "," $2,321,206 ",11.63%,"$19,646,821","$2,977,155",15.2%,"$19,595,708","$3,588,282",18.3%,13.7%,3
049197,Field Local,Portage," $18,662,189 "," $830,131 ",4.45%," $17,670,829 "," $1,381,752 ",7.82%," $18,060,866 "," $2,615,300 ",14.48%,"$18,954,369","$3,218,282",17.0%,"$19,102,537","$4,117,390",21.6%,13.1%,3
049205,James A Garfield Local,Portage," $13,392,996 "," $2,967,482 ",22.16%," $13,494,898 "," $2,276,369 ",16.87%," $13,327,218 "," $2,292,490 ",17.20%,"$13,607,535","$2,377,473",17.5%,"$13,373,990","$3,293,021",24.6%,19.7%,1
049213,Rootstown Local,Portage," $10,344,486 "," $1,389,266 ",13.43%," $10,996,590 "," $1,532,452 ",13.94%," $11,062,423 "," $2,002,694 ",18.10%,"$11,891,824","$2,236,931",18.8%,"$12,119,473","$2,885,284",23.8%,17.6%,3
049221,Southeast Local,Portage," $17,288,597 "," $9,739,750 ",56.34%," $16,795,144 "," $12,049,921 ",71.75%," $16,907,662 "," $13,833,267 ",81.82%,"$17,251,859","$15,444,260",89.5%,"$18,398,013","$16,164,069",87.9%,77.5%,2
049239,Streetsboro City,Portage," $20,583,332 "," $3,155,586 ",15.33%," $20,625,015 "," $3,852,710 ",18.68%," $21,301,570 "," $3,935,399 ",18.47%,"$22,081,135","$4,624,403",20.9%,"$22,105,232","$5,373,448",24.3%,19.5%,5
049247,Waterloo Local,Portage," $10,041,209 "," $1,241,040 ",12.36%," $9,698,086 "," $1,497,951 ",15.45%," $10,289,573 "," $1,880,876 ",18.28%,"$11,301,446","$1,815,379",16.1%,"$11,605,957","$1,701,842",14.7%,15.4%,2
049270,National Trail Local,Preble," $10,176,827 "," $1,807,387 ",17.76%," $9,681,322 "," $2,352,854 ",24.30%," $10,106,476 "," $3,103,319 ",30.71%,"$10,011,078","$4,843,318",48.4%,"$11,186,625","$6,730,294",60.2%,36.3%,1
049288,Preble Shawnee Local,Preble," $12,987,538 "," $7,638,711 ",58.82%," $12,140,046 "," $8,410,723 ",69.28%," $13,210,892 "," $9,615,811 ",72.79%,"$13,698,310","$11,595,865",84.7%,"$13,980,189","$13,411,264",95.9%,76.3%,2
049296,Twin Valley Community Local,Preble," $8,597,386 "," $984,089 ",11.45%," $8,294,625 "," $710,272 ",8.56%," $7,780,760 "," $1,120,991 ",14.41%,"$7,892,923","$2,413,215",30.6%,"$8,672,769","$3,722,249",42.9%,21.6%,2
049312,Columbus Grove Local,Putnam," $7,969,550 "," $4,386,736 ",55.04%," $8,124,871 "," $4,497,379 ",55.35%," $8,678,001 "," $4,234,392 ",48.79%,"$8,731,209","$4,519,572",51.8%,"$8,957,420","$5,488,191",61.3%,54.4%,2
049320,Continental Local,Putnam," $5,945,689 "," $3,959,064 ",66.59%," $6,020,605 "," $3,848,930 ",63.93%," $6,066,739 "," $3,628,126 ",59.80%,"$6,313,017","$3,451,645",54.7%,"$5,992,317","$4,284,252",71.5%,63.3%,2
049338,Jennings Local,Putnam," $3,518,139 "," $263,968 ",7.50%," $3,428,946 "," $559,684 ",16.32%," $3,620,233 "," $610,946 ",16.88%,"$3,667,381","$731,566",19.9%,"$3,715,300","$1,105,690",29.8%,18.1%,2
049346,Kalida Local,Putnam," $5,495,927 "," $1,563,367 ",28.45%," $5,456,537 "," $2,160,882 ",39.60%," $5,639,937 "," $2,817,704 ",49.96%,"$6,395,636","$3,674,264",57.4%,"$5,993,408","$4,480,541",74.8%,50.0%,3
049353,Leipsic Local,Putnam," $6,451,768 "," $2,616,127 ",40.55%," $6,580,084 "," $2,993,931 ",45.50%," $6,639,780 "," $3,175,078 ",47.82%,"$6,904,175","$3,721,961",53.9%,"$7,292,081","$4,769,046",65.4%,50.6%,4
049361,Miller City-New Cleveland Local,Putnam," $4,415,985 "," $1,868,265 ",42.31%," $4,124,361 "," $2,154,912 ",52.25%," $4,800,825 "," $2,061,690 ",42.94%,"$4,595,007","$2,261,270",49.2%,"$4,595,007","$2,261,270",49.2%,47.2%,2
049379,Ottawa-Glandorf Local,Putnam," $11,818,526 "," $4,050,704 ",34.27%," $11,399,443 "," $4,245,035 ",37.24%," $11,837,239 "," $4,238,126 ",35.80%,"$12,770,406","$3,954,353",31.0%,"$12,875,918","$4,400,771",34.2%,34.5%,3
049387,Ottoville Local,Putnam," $4,116,931 "," $3,215,978 ",78.12%," $4,329,592 "," $3,695,444 ",85.35%," $4,289,897 "," $4,328,250 ",100.89%,"$4,723,369","$4,573,635",96.8%,"$4,717,213","$4,956,744",105.1%,93.3%,2
049395,Pandora-Gilboa Local,Putnam," $5,792,066 "," $2,586,508 ",44.66%," $5,925,088 "," $2,664,089 ",44.96%," $5,901,862 "," $3,144,805 ",53.28%,"$6,109,154","$3,635,951",59.5%,"$6,458,045","$4,432,803",68.6%,54.2%,2
049411,Clear Fork Valley Local,Richland," $14,465,312 "," $6,484,714 ",44.83%," $14,561,134 "," $6,030,032 ",41.41%," $14,730,634 "," $6,808,125 ",46.22%,"$15,417,969","$7,738,347",50.2%,"$15,615,496","$8,880,504",56.9%,47.9%,1
049429,Crestview Local,Richland," $10,808,478 "," $5,954,090 ",55.09%," $10,108,329 "," $6,126,188 ",60.61%," $10,746,611 "," $5,980,732 ",55.65%,"$10,585,536","$5,941,209",56.1%,"$10,571,877","$6,719,321",63.6%,58.2%,2
049437,Lexington Local,Richland," $22,171,238 "," $854,823 ",3.86%," $20,603,182 "," $2,278,052 ",11.06%," $20,675,961 "," $4,356,120 ",21.07%,"$20,591,147","$7,087,627",34.4%,"$21,240,991","$9,022,193",42.5%,22.6%,5
049445,Lucas Local,Richland," $5,437,820 "," $4,151,208 ",76.34%," $5,282,264 "," $4,332,110 ",82.01%," $5,185,241 "," $4,917,518 ",94.84%,"$5,543,930","$5,277,809",95.2%,"$5,744,199","$6,275,016",109.2%,91.5%,2
049452,Madison Local,Richland," $30,282,117 "," $6,208,552 ",20.50%," $30,547,070 "," $4,520,371 ",14.80%," $30,917,036 "," $3,604,729 ",11.66%,"$31,446,352","$4,155,587",13.2%,"$31,953,182","$5,075,622",15.9%,15.2%,4
049460,Plymouth-Shiloh Local,Richland," $8,133,789 "," $2,659,037 ",32.69%," $8,054,061 "," $2,653,312 ",32.94%," $8,218,057 "," $2,902,944 ",35.32%,"$8,452,460","$3,156,660",37.3%,"$8,988,305","$3,702,663",41.2%,35.9%,1
049478,Ontario Local,Richland," $15,384,396 "," $4,980,093 ",32.37%," $15,458,663 "," $4,492,412 ",29.06%," $15,996,553 "," $4,308,545 ",26.93%,"$16,483,518","$4,229,414",25.7%,"$16,351,989","$5,027,860",30.7%,29.0%,3
049494,Adena Local,Ross," $10,863,229 "," $4,812,278 ",44.30%," $10,508,036 "," $4,359,454 ",41.49%," $10,700,146 "," $3,902,910 ",36.48%,"$11,125,199","$3,383,248",30.4%,"$11,312,016","$3,654,998",32.3%,37.0%,2
049502,Huntington Local,Ross," $12,099,690 "," $4,594,162 ",37.97%," $12,039,141 "," $4,341,982 ",36.07%," $12,975,996 "," $3,720,112 ",28.67%,"$12,712,262","$4,218,409",33.2%,"$13,323,996","$6,447,039",48.4%,36.9%,2
049510,Paint Valley Local,Ross," $10,237,433 "," $1,649,403 ",16.11%," $10,054,353 "," $901,979 ",8.97%," $9,401,766 "," $1,544,635 ",16.43%,"$9,309,171","$1,842,501",19.8%,"$9,427,585","$3,473,881",36.8%,19.6%,2
049528,Southeastern Local,Ross," $10,171,753 "," $7,281,594 ",71.59%," $10,224,834 "," $8,154,312 ",79.75%," $10,713,515 "," $8,796,505 ",82.11%,"$10,845,882","$9,906,586",91.3%,"$11,407,732","$10,760,914",94.3%,83.8%,1
049536,Union-Scioto Local,Ross," $17,659,022 "," $12,037,222 ",68.16%," $17,670,935 "," $12,666,250 ",71.68%," $19,042,241 "," $12,673,772 ",66.56%,"$20,116,908","$12,045,799",59.9%,"$22,372,700","$9,708,177",43.4%,61.9%,3
049544,Zane Trace Local,Ross," $13,729,309 "," $4,167,068 ",30.35%," $12,941,231 "," $3,011,754 ",23.27%," $12,659,527 "," $3,305,501 ",26.11%,"$12,823,024","$3,202,906",25.0%,"$12,840,246","$3,295,170",25.7%,26.1%,3
049569,Lakota Local,Sandusky," $15,153,952 "," $2,382,599 ",15.72%," $11,225,240 "," $2,061,467 ",18.36%," $11,042,190 "," $2,801,203 ",25.37%,"$11,508,694","$3,281,744",28.5%,"$11,849,967","$3,929,345",33.2%,24.2%,1
049577,Woodmore Local,Sandusky," $9,051,950 "," $1,219,454 ",13.47%," $9,841,925 "," $337,389 ",3.43%," $9,587,449 "," $75,680 ",0.79%,"$9,627,440","$415,384",4.3%,"$9,711,623","$1,271,867",13.1%,7.0%,3
049593,Bloom-Vernon Local,Scioto," $8,717,810 "," $1,461,615 ",16.77%," $8,727,972 "," $1,682,535 ",19.28%," $8,985,117 "," $2,151,641 ",23.95%,"$9,115,355","$2,923,111",32.1%,"$9,568,917","$4,453,725",46.5%,27.7%,2
049601,Clay Local,Scioto," $5,728,909 "," $382,294 ",6.67%," $5,534,508 "," $322,450 ",5.83%," $5,407,848 "," $758,190 ",14.02%,"$5,632,263","$1,069,574",19.0%,"$6,065,128","$1,686,875",27.8%,14.7%,1
049619,Green Local,Scioto," $5,912,615 "," $1,255,001 ",21.23%," $6,308,903 "," $1,205,721 ",19.11%," $6,842,227 "," $1,110,355 ",16.23%,"$7,118,856","$1,126,176",15.8%,"$6,873,822","$1,787,527",26.0%,19.7%,1
049627,Minford Local,Scioto," $13,525,809 "," $1,158,059 ",8.56%," $13,885,848 "," $757,384 ",5.45%," $14,190,269 "," $959,342 ",6.76%,"$15,127,163","$936,576",6.2%,"$15,311,194","$1,118,114",7.3%,6.9%,2
049635,Northwest Local,Scioto," $16,170,001 "," $922,869 ",5.71%," $16,560,978 "," $208,291 ",1.26%," $17,206,026 "," $260,913 ",1.52%,"$17,615,489","$1,076,510",6.1%,"$17,936,884","$3,499,924",19.5%,6.8%,2
049643,Valley Local,Scioto," $10,161,565 "," $901,861 ",8.88%," $10,107,107 "," $900,846 ",8.91%," $9,458,884 "," $2,345,700 ",24.80%,"$10,594,298","$4,216,676",39.8%,"$11,075,133","$5,718,108",51.6%,26.8%,2
049650,Washington-Nile Local,Scioto," $13,433,451 "," $2,759,183 ",20.54%," $13,741,687 "," $3,195,559 ",23.25%," $14,310,499 "," $3,505,429 ",24.50%,"$14,790,832","$4,352,795",29.4%,"$15,313,756","$5,283,692",34.5%,26.4%,2
049668,Wheelersburg Local,Scioto," $11,811,377 "," $1,611,556 ",13.64%," $11,897,792 "," $1,676,219 ",14.09%," $12,459,277 "," $1,810,449 ",14.53%,"$12,864,566","$1,673,934",13.0%,"$13,126,796","$1,567,710",11.9%,13.4%,3
049684,Seneca East Local,Seneca," $8,818,757 "," $825,968 ",9.37%," $8,566,433 "," $683,363 ",7.98%," $8,643,949 "," $756,954 ",8.76%,"$8,752,287","$1,317,669",15.1%,"$9,005,524","$2,519,024",28.0%,13.8%,2
049700,Hopewell-Loudon Local,Seneca," $7,503,856 "," $3,679,804 ",49.04%," $7,544,134 "," $3,552,795 ",47.09%," $7,818,742 "," $3,278,934 ",41.94%,"$7,929,973","$3,267,009",41.2%,"$8,011,728","$3,969,710",49.5%,45.8%,3
049718,New Riegel Local,Seneca," $3,565,255 "," $2,171,709 ",60.91%," $3,677,992 "," $2,251,426 ",61.21%," $3,820,409 "," $2,329,866 ",60.98%,"$3,960,852","$2,613,019",66.0%,"$4,154,744","$3,054,340",73.5%,64.5%,2
049726,Old Fort Local,Seneca," $4,579,100 "," $929,277 ",20.29%," $4,750,445 "," $541,810 ",11.41%," $4,461,531 "," $760,556 ",17.05%,"$6,527,299","$1,316,452",20.2%,"$6,614,669","$2,037,637",30.8%,19.9%,2
049759,Anna Local,Shelby, - , - ,-, - , - ,-, - , - ,-,-,-,-,"$10,636,931","$6,807,858",64.0%,64.0%,-
049767,Botkins Local,Shelby," $4,433,383 "," $2,787,629 ",62.88%," $4,585,487 "," $3,312,629 ",72.24%," $5,091,627 "," $3,805,132 ",74.73%,"$5,234,742","$4,549,578",86.9%,"$6,000,196","$4,959,142",82.6%,75.9%,2
049775,Fairlawn Local,Shelby," $4,834,970 "," $3,382,586 ",69.96%," $4,906,805 "," $3,991,798 ",81.35%," $5,127,554 "," $4,517,385 ",88.10%,"$5,335,920","$5,115,193",95.9%,"$6,316,060","$5,188,462",82.1%,83.5%,2
